symbol,hours,count
Unified Marxist–Leninist,1,35
Unified Marxist–Leninist,2,67
Unified Marxist–Leninist,3,95
Unified Marxist–Leninist,4,108
Unified Marxist–Leninist,8,140
Unified Marxist–Leninist,12,172
Unified Marxist–Leninist,23,625
Unified Marxist–Leninist,25,757
Unified Marxist–Leninist,30,995
Unified Marxist–Leninist,31.5,1033
Unified Marxist–Leninist,36,1193
Unified Marxist–Leninist,41.5,1494
Unified Marxist–Leninist,43,1728
Unified Marxist–Leninist,48,2050
Unified Marxist–Leninist,59,3784
Unified Marxist–Leninist,61,5458
Unified Marxist–Leninist,66,5850
Unified Marxist–Leninist,70,6586
Unified Marxist–Leninist,81,8104
Unified Marxist–Leninist,84,10245
Unified Marxist–Leninist,92,11559
Unified Marxist–Leninist,95,12733
Unified Marxist–Leninist,105,19592
Unified Marxist–Leninist,120,20032
Unified Marxist–Leninist,132,23423
Unified Marxist–Leninist,144,25902
Unified Marxist–Leninist,164,32166
Unified Marxist–Leninist,167,33221
Unified Marxist–Leninist,179,36370
Unified Marxist–Leninist,191,41115
Unified Marxist–Leninist,209,45855
Unified Marxist–Leninist,216,47059
Unified Marxist–Leninist,224,48072
Unified Marxist–Leninist,245,52390
Unified Marxist–Leninist,253,54788
Unified Marxist–Leninist,265,57473
Unified Marxist–Leninist,281,62124
Unified Marxist–Leninist,289,64913
Congress,1,23
Congress,2,47
Congress,3,54
Congress,4,68
Congress,8,94
Congress,12,111
Congress,23,581
Congress,25,625
Congress,30,695
Congress,31.5,840
Congress,36,759
Congress,41.5,1070
Congress,43,1103
Congress,48,1334
Congress,59,2384
Congress,61,3235
Congress,66,3521
Congress,70,4215
Congress,81,5172
Congress,84,6655
Congress,92,7868
Congress,95,8333
Congress,105,13587
Congress,120,13932
Congress,132,16485
Congress,144,18717
Congress,164,22932
Congress,167,23804
Congress,179,26709
Congress,191,29230
Congress,209,32033
Congress,216,33110
Congress,224,33468
Congress,245,36981
Congress,253,38738
Congress,265,40269
Congress,281,43910
Congress,289,45269
Bibeksheel Nepali,1,25
Bibeksheel Nepali,2,39
Bibeksheel Nepali,3,49
Bibeksheel Nepali,4,59
Bibeksheel Nepali,8,71
Bibeksheel Nepali,12,71
Bibeksheel Nepali,23,233
Bibeksheel Nepali,25,233
Bibeksheel Nepali,30,421
Bibeksheel Nepali,31.5,501
Bibeksheel Nepali,36,555
Bibeksheel Nepali,41.5,782
Bibeksheel Nepali,43,847
Bibeksheel Nepali,48,892
Bibeksheel Nepali,59,1426
Bibeksheel Nepali,61,2201
Bibeksheel Nepali,66,2201
Bibeksheel Nepali,70,2735
Bibeksheel Nepali,81,3287
Bibeksheel Nepali,84,3938
Bibeksheel Nepali,92,4525
Bibeksheel Nepali,95,5197
Bibeksheel Nepali,105,7686
Bibeksheel Nepali,120,8031
Bibeksheel Nepali,132,9323
Bibeksheel Nepali,144,10870
Bibeksheel Nepali,164,12454
Bibeksheel Nepali,167,12812
Bibeksheel Nepali,179,13499
Bibeksheel Nepali,191,15172
Bibeksheel Nepali,209,16609
Bibeksheel Nepali,216,17141
Bibeksheel Nepali,224,17264
Bibeksheel Nepali,245,19256
Bibeksheel Nepali,253,20195
Bibeksheel Nepali,265,20879
Bibeksheel Nepali,281,22549
Bibeksheel Nepali,289,23439
Sanjha,1,26
Sanjha,2,47
Sanjha,3,54
Sanjha,4,78
Sanjha,8,100
Sanjha,12,120
Sanjha,23,232
Sanjha,25,232
Sanjha,30,326
Sanjha,31.5,385
Sanjha,36,409
Sanjha,41.5,561
Sanjha,43,657
Sanjha,48,641
Sanjha,59,756
Sanjha,61,1498
Sanjha,66,1674
Sanjha,70,1976
Sanjha,81,2452
Sanjha,84,3139
Sanjha,92,3546
Sanjha,95,3744
Sanjha,105,5812
Sanjha,120,5989
Sanjha,132,6953
Sanjha,144,7897
Sanjha,164,9452
Sanjha,167,9662
Sanjha,179,10174
Sanjha,191,11485
Sanjha,209,12552
Sanjha,216,13121
Sanjha,224,13200
Sanjha,245,14861
Sanjha,253,15689
Sanjha,265,16176
Sanjha,281,17755
Sanjha,289,18493
Maoist Centre,1,2
Maoist Centre,2,2
Maoist Centre,3,2
Maoist Centre,4,2
Maoist Centre,8,2
Maoist Centre,12,2
Maoist Centre,23,78
Maoist Centre,25,78
Maoist Centre,30,78
Maoist Centre,31.5,78
Maoist Centre,36,78
Maoist Centre,41.5,78
Maoist Centre,43,206
Maoist Centre,48,214
Maoist Centre,59,425
Maoist Centre,61,610
Maoist Centre,66,610
Maoist Centre,70,610
Maoist Centre,81,610
Maoist Centre,84,1094
Maoist Centre,92,1310
Maoist Centre,95,1407
Maoist Centre,105,2226
Maoist Centre,120,2294
Maoist Centre,132,2294
Maoist Centre,144,2889
Maoist Centre,164,3553
Maoist Centre,167,3663
Maoist Centre,179,3977
Maoist Centre,191,4538
Maoist Centre,209,5033
Maoist Centre,216,5181
Maoist Centre,224,5284
Maoist Centre,245,5978
Maoist Centre,253,6398
Maoist Centre,265,6680
Maoist Centre,281,7469
Maoist Centre,289,7906